Date,Time,Pick-up Location,Pick-up Latitude,Pick-up Longitude,Drop-off Location,Drop-off Latitude,Drop-off Longitude
2023-07-06,18:13,Gardens by the Bay,1.281568,103.863613,Drop-off Location,1.3021329823958636,103.6854732979318
2022-07-24,11:41,Singapore Zoo,1.404348,103.793023,Drop-off Location,1.292553201573583,103.931867801262
2023-06-22,12:25,Universal Studios Singapore,1.254321,103.823819,Drop-off Location,1.2919369725855445,103.79520722925665
2022-06-11,20:43,Clarke Quay,1.290557,103.846659,Drop-off Location,1.2137355203899125,103.82339569169811
2023-12-02,10:05,Gardens by the Bay,1.281568,103.863613,Drop-off Location,1.3402072351616923,103.89258365222707
2021-07-23,13:31,Sentosa Island,1.249404,103.830321,Drop-off Location,1.2043429994749169,103.7420529573993
2024-06-10,18:45,Chinatown,1.284366,103.843005,Drop-off Location,1.2605219046226002,103.62635301184359
2023-06-15,18:25,Chinatown,1.284366,103.843005,Drop-off Location,1.2214248027213397,103.7456915096876
2022-06-16,22:34,Marina Bay Sands,1.28392,103.86057,Drop-off Location,1.3381159374758826,103.75421693662783
2023-07-12,14:21,Sentosa Island,1.249404,103.830321,Drop-off Location,1.3716070612424511,103.86266120265127
2022-07-11,12:44,Universal Studios Singapore,1.254321,103.823819,Drop-off Location,1.3005265132606998,103.89534993281234
2023-12-27,11:13,Sentosa Island,1.249404,103.830321,Drop-off Location,1.28534147160624,103.79484302513589
2022-12-05,19:19,Chinatown,1.284366,103.843005,Drop-off Location,1.2835954421860896,103.68647448021329
2022-12-04,21:37,Chinatown,1.284366,103.843005,Drop-off Location,1.2937252456654296,103.66483223124906
2024-07-04,17:38,Little India,1.306978,103.849222,Drop-off Location,1.2132177069974297,103.72532508544145
2023-06-25,11:08,Singapore Zoo,1.404348,103.793023,Drop-off Location,1.250414465709097,103.86457118913277
2022-06-02,21:20,Little India,1.306978,103.849222,Drop-off Location,1.214088184047787,103.62446425552139
2024-06-03,12:47,Singapore Zoo,1.404348,103.793023,Drop-off Location,1.3087441543292262,103.93424067809856
2022-12-24,22:48,Clarke Quay,1.290557,103.846659,Drop-off Location,1.3901964361086656,103.62988246874986
2022-12-20,10:42,Singapore Zoo,1.404348,103.793023,Drop-off Location,1.2806971083875156,103.89222080142758
2022-06-21,14:28,Universal Studios Singapore,1.254321,103.823819,Drop-off Location,1.337735626072027,103.68840055283938
2021-07-02,11:03,Universal Studios Singapore,1.254321,103.823819,Drop-off Location,1.2100981810921057,103.80136942304961
2024-06-19,21:21,Little India,1.306978,103.849222,Drop-off Location,1.2646965633355145,103.79200031138333
2022-12-06,10:46,Universal Studios Singapore,1.254321,103.823819,Drop-off Location,1.235858525316754,103.60328424813164
2021-12-01,19:14,Chinatown,1.284366,103.843005,Drop-off Location,1.3748056984377919,103.85952529718669
2021-12-27,16:34,Orchard Road,1.304834,103.831833,Drop-off Location,1.3508178232759855,103.82636074680364
2023-06-05,19:03,Clarke Quay,1.290557,103.846659,Drop-off Location,1.339643657704205,103.8659763179811
2023-12-02,21:43,Marina Bay Sands,1.28392,103.86057,Drop-off Location,1.3350649742081915,103.60152471739804
2022-12-09,22:43,Chinatown,1.284366,103.843005,Drop-off Location,1.3828894241911371,103.66147573712422
2024-06-26,18:05,Chinatown,1.284366,103.843005,Drop-off Location,1.2157474139402171,103.75857678906613
2023-12-09,13:37,Sentosa Island,1.249404,103.830321,Drop-off Location,1.2391641530713722,103.69930089265999
2024-07-26,14:22,Singapore Flyer,1.289332,103.86312,Drop-off Location,1.3191997486172928,103.91352210322381
2022-07-17,10:19,Gardens by the Bay,1.281568,103.863613,Drop-off Location,1.2660155014691281,103.85285384125821
2022-07-27,17:37,Singapore Flyer,1.289332,103.86312,Drop-off Location,1.2800181762740535,103.8917983585402
2021-07-06,10:13,Singapore Zoo,1.404348,103.793023,Drop-off Location,1.3664010923157945,103.90439235098458
2022-06-09,17:16,Orchard Road,1.304834,103.831833,Drop-off Location,1.3975821284984054,103.7312830618313
2022-06-08,11:13,Sentosa Island,1.249404,103.830321,Drop-off Location,1.289007699897506,103.73068371202447
2022-12-20,12:02,Sentosa Island,1.249404,103.830321,Drop-off Location,1.2718841732253137,103.65074402223509
2024-07-25,14:52,Sentosa Island,1.249404,103.830321,Drop-off Location,1.3971562392131809,103.8898599793293
2023-06-06,11:47,Sentosa Island,1.249404,103.830321,Drop-off Location,1.3990242761603662,103.80834532197298
2022-12-07,21:23,Clarke Quay,1.290557,103.846659,Drop-off Location,1.2456173839762852,103.92170602467026
2022-12-14,11:57,Universal Studios Singapore,1.254321,103.823819,Drop-off Location,1.3603280068218848,103.8079847909837
2023-06-10,17:35,Singapore Flyer,1.289332,103.86312,Drop-off Location,1.3090242630874784,103.76924566653888
2023-06-15,12:58,Universal Studios Singapore,1.254321,103.823819,Drop-off Location,1.205372583646061,103.77006828192388
2022-12-08,21:03,Marina Bay Sands,1.28392,103.86057,Drop-off Location,1.2974593325540575,103.82456257191824
2023-07-06,13:02,Universal Studios Singapore,1.254321,103.823819,Drop-off Location,1.34682610554909,103.60988164182042
2022-12-19,13:13,Universal Studios Singapore,1.254321,103.823819,Drop-off Location,1.3332976075209977,103.80955062079575
2023-06-23,18:23,Little India,1.306978,103.849222,Drop-off Location,1.3944919185374578,103.62886157384348
2022-06-03,19:32,Little India,1.306978,103.849222,Drop-off Location,1.3570408771337785,103.94906905958403
2022-06-22,13:34,Universal Studios Singapore,1.254321,103.823819,Drop-off Location,1.327015920410839,103.72471676116574
2022-07-22,18:51,Orchard Road,1.304834,103.831833,Drop-off Location,1.3615380537821355,103.82045875962605
2023-12-11,11:03,Sentosa Island,1.249404,103.830321,Drop-off Location,1.2739263048193386,103.75386604608859
2023-07-19,11:58,Sentosa Island,1.249404,103.830321,Drop-off Location,1.326359475554053,103.95902757861795
2021-07-28,19:01,Gardens by the Bay,1.281568,103.863613,Drop-off Location,1.2173399599348322,103.8076778476978
2023-12-05,13:06,Universal Studios Singapore,1.254321,103.823819,Drop-off Location,1.2325397353395124,103.98180185037671
2022-12-02,21:40,Clarke Quay,1.290557,103.846659,Drop-off Location,1.348522586312032,103.85161690187799
2021-07-27,10:38,Universal Studios Singapore,1.254321,103.823819,Drop-off Location,1.2998906188738464,103.87196084252595
2023-06-01,12:57,Singapore Zoo,1.404348,103.793023,Drop-off Location,1.39362464397531,103.71746385063034
2024-07-20,13:52,Universal Studios Singapore,1.254321,103.823819,Drop-off Location,1.3104387636278314,103.93974717803205
2024-12-01,19:42,Chinatown,1.284366,103.843005,Drop-off Location,1.2120156070813182,103.84719243115735
2024-06-01,18:33,Chinatown,1.284366,103.843005,Drop-off Location,1.36506084981,103.94680933575853
2022-12-17,21:38,Clarke Quay,1.290557,103.846659,Drop-off Location,1.3659293404800623,103.86535256690985
2022-12-18,16:51,Orchard Road,1.304834,103.831833,Drop-off Location,1.3268311510334474,103.95354772564406
2024-12-18,17:03,Orchard Road,1.304834,103.831833,Drop-off Location,1.2869373252569103,103.68956968492272
2022-07-05,23:24,Clarke Quay,1.290557,103.846659,Drop-off Location,1.3230377508410445,103.6314364530266
2022-12-02,19:26,Clarke Quay,1.290557,103.846659,Drop-off Location,1.2060269297859523,103.87207957893497
2022-12-18,18:37,Chinatown,1.284366,103.843005,Drop-off Location,1.2275576930148429,103.74837127789033
2023-12-20,20:42,Chinatown,1.284366,103.843005,Drop-off Location,1.2354049435121024,103.97215483529449
2022-12-04,22:00,Marina Bay Sands,1.28392,103.86057,Drop-off Location,1.237120786895827,103.90212090439402
2022-06-15,20:42,Chinatown,1.284366,103.843005,Drop-off Location,1.2186565397288327,103.78428692180316
2023-07-11,15:50,Orchard Road,1.304834,103.831833,Drop-off Location,1.256998364728915,103.69609977679622
2023-06-22,20:36,Marina Bay Sands,1.28392,103.86057,Drop-off Location,1.2729816322036853,103.88849377178244
2024-06-25,14:47,Singapore Flyer,1.289332,103.86312,Drop-off Location,1.2467902316019142,103.61995500323485
2023-06-25,19:36,Marina Bay Sands,1.28392,103.86057,Drop-off Location,1.3816329193109538,103.86755286400242
2021-07-21,20:11,Clarke Quay,1.290557,103.846659,Drop-off Location,1.2945234220672805,103.64006651500509
2024-06-23,20:21,Little India,1.306978,103.849222,Drop-off Location,1.2793109579167443,103.81287133433058
2023-12-11,20:44,Chinatown,1.284366,103.843005,Drop-off Location,1.3678812946411527,103.98126004994138
2021-07-11,21:27,Little India,1.306978,103.849222,Drop-off Location,1.2478851716120736,103.73186112368943
2024-12-15,16:35,Singapore Flyer,1.289332,103.86312,Drop-off Location,1.2190291888177966,103.67305209093823
2023-12-13,17:03,Singapore Flyer,1.289332,103.86312,Drop-off Location,1.2452265530322761,103.72878265413354
2023-12-17,15:45,Orchard Road,1.304834,103.831833,Drop-off Location,1.3911826821185895,103.90858756998051
2024-07-12,11:12,Singapore Zoo,1.404348,103.793023,Drop-off Location,1.2744868826036686,103.61021498183527
2024-06-08,20:02,Marina Bay Sands,1.28392,103.86057,Drop-off Location,1.3020583116539834,103.90773139194212
2023-06-22,17:54,Singapore Flyer,1.289332,103.86312,Drop-off Location,1.2986719354250291,103.77957509948497
2022-06-06,10:12,Sentosa Island,1.249404,103.830321,Drop-off Location,1.2110670303581983,103.93435052681718
2022-07-25,16:18,Orchard Road,1.304834,103.831833,Drop-off Location,1.2206565703852101,103.99835947125092
2023-12-16,18:59,Chinatown,1.284366,103.843005,Drop-off Location,1.254702605568629,103.94452470185595
2023-06-21,09:44,Singapore Zoo,1.404348,103.793023,Drop-off Location,1.2951525015917527,103.96310570760821
2021-12-12,15:49,Orchard Road,1.304834,103.831833,Drop-off Location,1.3984367619173341,103.6094386608203
2022-06-15,11:59,Singapore Zoo,1.404348,103.793023,Drop-off Location,1.275334993472052,103.89505023935985
2022-07-23,21:32,Clarke Quay,1.290557,103.846659,Drop-off Location,1.3987208813826417,103.81711571179903
2022-07-26,22:42,Marina Bay Sands,1.28392,103.86057,Drop-off Location,1.3921995871688073,103.988643482646
2021-06-17,17:30,Singapore Flyer,1.289332,103.86312,Drop-off Location,1.3061891650068926,103.7808054065897
2022-12-22,19:21,Clarke Quay,1.290557,103.846659,Drop-off Location,1.2047280687604094,103.82308765361428
2023-07-28,18:17,Chinatown,1.284366,103.843005,Drop-off Location,1.2253650971016428,103.68198857652325
2024-06-12,14:30,Sentosa Island,1.249404,103.830321,Drop-off Location,1.3028153900269586,103.75653051368612
2022-07-13,19:10,Little India,1.306978,103.849222,Drop-off Location,1.2861185868705844,103.97542411647268
2022-07-07,18:50,Orchard Road,1.304834,103.831833,Drop-off Location,1.2865465737869934,103.99364938704292
2021-12-02,19:52,Little India,1.306978,103.849222,Drop-off Location,1.342503630000526,103.93789100519481
2024-07-01,09:34,Singapore Zoo,1.404348,103.793023,Drop-off Location,1.2698128136711624,103.76545741932034
2022-07-02,11:48,Universal Studios Singapore,1.254321,103.823819,Drop-off Location,1.2073333129974095,103.87574872542181
2023-12-15,19:03,Orchard Road,1.304834,103.831833,Drop-off Location,1.3774495561782472,103.8695906535318
2023-12-04,17:29,Little India,1.306978,103.849222,Drop-off Location,1.3469547215034263,103.78134439418477
2022-06-27,19:18,Orchard Road,1.304834,103.831833,Drop-off Location,1.2251129517817698,103.94003913214209
2023-06-13,11:38,Sentosa Island,1.249404,103.830321,Drop-off Location,1.3902087944870645,103.63271085256868
2024-12-07,18:29,Chinatown,1.284366,103.843005,Drop-off Location,1.20074182501455,103.87771685242555
2022-12-06,20:56,Marina Bay Sands,1.28392,103.86057,Drop-off Location,1.2865779888855857,103.96124738674315
2022-06-13,19:18,Clarke Quay,1.290557,103.846659,Drop-off Location,1.2900466838904525,103.8865675099418
2023-12-11,09:58,Gardens by the Bay,1.281568,103.863613,Drop-off Location,1.3044619738610843,103.86637223350472
2022-07-05,19:30,Gardens by the Bay,1.281568,103.863613,Drop-off Location,1.226301695024063,103.77701223425369
2022-06-06,16:06,Singapore Flyer,1.289332,103.86312,Drop-off Location,1.2265508481482257,103.67753619013037
2022-12-02,13:55,Singapore Zoo,1.404348,103.793023,Drop-off Location,1.3990595476571235,103.87562739823683
2023-12-07,15:51,Singapore Flyer,1.289332,103.86312,Drop-off Location,1.3589949827290004,103.84274191065175
2023-07-25,11:10,Sentosa Island,1.249404,103.830321,Drop-off Location,1.2735219584748663,103.65540866527867
2024-12-17,14:37,Sentosa Island,1.249404,103.830321,Drop-off Location,1.3715379990030847,103.90529592290648
2023-12-15,11:19,Universal Studios Singapore,1.254321,103.823819,Drop-off Location,1.2297509426232562,103.69867121213521
2022-12-06,11:02,Sentosa Island,1.249404,103.830321,Drop-off Location,1.3150596448868583,103.88570063039771
2022-12-09,11:58,Gardens by the Bay,1.281568,103.863613,Drop-off Location,1.2598827254777585,103.9611706520646
2023-06-13,21:33,Marina Bay Sands,1.28392,103.86057,Drop-off Location,1.2204212445434015,103.95727918370878
2021-06-02,13:13,Sentosa Island,1.249404,103.830321,Drop-off Location,1.3731127988253753,103.63812739400956
2021-07-22,14:10,Universal Studios Singapore,1.254321,103.823819,Drop-off Location,1.3111805354184567,103.9684018939455
2024-07-23,21:48,Clarke Quay,1.290557,103.846659,Drop-off Location,1.3723117881402318,103.85483335309738
2022-07-06,16:25,Singapore Flyer,1.289332,103.86312,Drop-off Location,1.3142870552654315,103.67418843604773
2023-12-26,15:30,Orchard Road,1.304834,103.831833,Drop-off Location,1.2983625491275805,103.60707144556518
2023-07-06,18:08,Little India,1.306978,103.849222,Drop-off Location,1.3044477954876008,103.86007560749108
2021-12-17,18:52,Orchard Road,1.304834,103.831833,Drop-off Location,1.3850157736059812,103.6483356217824
2022-06-26,12:47,Sentosa Island,1.249404,103.830321,Drop-off Location,1.2977317446041738,103.87309894735259
2022-07-10,20:28,Chinatown,1.284366,103.843005,Drop-off Location,1.2198734409472867,103.66864606805467
2021-07-12,10:08,Gardens by the Bay,1.281568,103.863613,Drop-off Location,1.3294180447405775,103.73369360954439
2022-07-14,09:21,Gardens by the Bay,1.281568,103.863613,Drop-off Location,1.2654498162711052,103.8792196720915
2024-06-16,21:22,Marina Bay Sands,1.28392,103.86057,Drop-off Location,1.375317590751907,103.91856988714564
2022-12-23,12:22,Universal Studios Singapore,1.254321,103.823819,Drop-off Location,1.2533881099523363,103.87591087250689
2023-07-13,19:20,Orchard Road,1.304834,103.831833,Drop-off Location,1.36657558196166,103.75009518683187
2023-07-15,14:31,Singapore Flyer,1.289332,103.86312,Drop-off Location,1.268852786080519,103.78398776733421
2023-12-14,20:05,Chinatown,1.284366,103.843005,Drop-off Location,1.3490824118771092,103.63561435340762
2023-06-01,20:02,Chinatown,1.284366,103.843005,Drop-off Location,1.391018981180998,103.62907908588484
2024-12-18,22:17,Clarke Quay,1.290557,103.846659,Drop-off Location,1.3708118799351903,103.89016649459693
2022-07-09,22:05,Clarke Quay,1.290557,103.846659,Drop-off Location,1.2823983981399865,103.84897107903733
2022-07-02,20:00,Clarke Quay,1.290557,103.846659,Drop-off Location,1.3840122218916935,103.6684401990883
2023-06-21,10:53,Sentosa Island,1.249404,103.830321,Drop-off Location,1.2910176789640704,103.90350442107687
2022-07-04,18:55,Singapore Flyer,1.289332,103.86312,Drop-off Location,1.3490057968346914,103.89246323314555
2022-06-22,16:16,Singapore Flyer,1.289332,103.86312,Drop-off Location,1.2915641478501498,103.79765402926171
2023-12-03,17:12,Little India,1.306978,103.849222,Drop-off Location,1.2891339915261693,103.73783290040528
2023-06-05,10:07,Universal Studios Singapore,1.254321,103.823819,Drop-off Location,1.384608452192843,103.75000242336668
2023-12-14,18:21,Marina Bay Sands,1.28392,103.86057,Drop-off Location,1.270117451654468,103.87215376944036
2022-12-15,19:35,Orchard Road,1.304834,103.831833,Drop-off Location,1.287199298618581,103.86859207455237
2022-06-02,11:57,Sentosa Island,1.249404,103.830321,Drop-off Location,1.3232273099090799,103.62196510587013
2023-07-14,19:38,Marina Bay Sands,1.28392,103.86057,Drop-off Location,1.2876382760332923,103.62361414850197
2023-06-03,19:28,Clarke Quay,1.290557,103.846659,Drop-off Location,1.3120733574019436,103.85893039113277
2022-07-01,19:30,Clarke Quay,1.290557,103.846659,Drop-off Location,1.2566415132203654,103.82233996476096
2023-12-13,22:54,Marina Bay Sands,1.28392,103.86057,Drop-off Location,1.2606713680704111,103.80607638745443
2022-12-06,18:21,Little India,1.306978,103.849222,Drop-off Location,1.3795599516284351,103.83697614479784
2023-06-12,10:51,Singapore Zoo,1.404348,103.793023,Drop-off Location,1.3437702210294844,103.71642943339978
2022-12-24,16:54,Singapore Flyer,1.289332,103.86312,Drop-off Location,1.2602864981967599,103.9038375493814
2022-07-08,10:32,Gardens by the Bay,1.281568,103.863613,Drop-off Location,1.373813823082743,103.69914278904662
2021-07-16,21:54,Clarke Quay,1.290557,103.846659,Drop-off Location,1.3062124414622638,103.88565997008153
2023-12-09,11:45,Universal Studios Singapore,1.254321,103.823819,Drop-off Location,1.3615862186051453,103.79540845628905
2024-12-20,20:52,Clarke Quay,1.290557,103.846659,Drop-off Location,1.231869965067423,103.83206563846734
2022-12-11,18:05,Little India,1.306978,103.849222,Drop-off Location,1.3804765841962712,103.95392691138815
2024-12-04,11:21,Sentosa Island,1.249404,103.830321,Drop-off Location,1.3492092907280644,103.95076052995198
2024-06-17,11:05,Universal Studios Singapore,1.254321,103.823819,Drop-off Location,1.2052409117573528,103.79551060277603
2024-07-20,11:26,Singapore Zoo,1.404348,103.793023,Drop-off Location,1.291291229842438,103.69964130676102
2022-12-23,11:37,Gardens by the Bay,1.281568,103.863613,Drop-off Location,1.2182465579388049,103.61887433456324
2022-06-08,22:41,Chinatown,1.284366,103.843005,Drop-off Location,1.2970459024813619,103.86654316367607
2024-12-15,16:35,Orchard Road,1.304834,103.831833,Drop-off Location,1.2864988889587103,103.95423338218887
2021-07-13,20:40,Clarke Quay,1.290557,103.846659,Drop-off Location,1.2006878882647847,103.65063524211202
2022-06-20,18:02,Little India,1.306978,103.849222,Drop-off Location,1.399588991143303,103.64048142846033
2023-12-16,19:27,Clarke Quay,1.290557,103.846659,Drop-off Location,1.2089591791321204,103.72810321865512
2022-07-14,19:19,Little India,1.306978,103.849222,Drop-off Location,1.2731656771371176,103.73200510769179
2022-06-11,16:02,Orchard Road,1.304834,103.831833,Drop-off Location,1.274706926661731,103.63201637505117
2022-12-16,23:51,Clarke Quay,1.290557,103.846659,Drop-off Location,1.3588561924455784,103.91222590282476
2023-12-08,18:25,Little India,1.306978,103.849222,Drop-off Location,1.366916094197283,103.76066260580124
2024-06-26,19:35,Orchard Road,1.304834,103.831833,Drop-off Location,1.3720742704582136,103.62036519856602
2022-12-27,19:46,Gardens by the Bay,1.281568,103.863613,Drop-off Location,1.3790316938107416,103.61565828052565
2022-07-05,20:04,Little India,1.306978,103.849222,Drop-off Location,1.2574649160251623,103.68244135066804
2024-07-06,19:56,Chinatown,1.284366,103.843005,Drop-off Location,1.3019881415102539,103.66990446513923
2023-06-19,18:07,Chinatown,1.284366,103.843005,Drop-off Location,1.2668787277987448,103.61729473715056
2024-06-19,11:08,Sentosa Island,1.249404,103.830321,Drop-off Location,1.3678657080620173,103.77954779644496
2024-07-11,09:31,Singapore Zoo,1.404348,103.793023,Drop-off Location,1.237342747087877,103.88005981434553
2022-12-27,18:50,Little India,1.306978,103.849222,Drop-off Location,1.360319441248203,103.97301166782665
2021-07-01,18:15,Chinatown,1.284366,103.843005,Drop-off Location,1.2946440404535264,103.60359742430086
2023-07-20,09:49,Gardens by the Bay,1.281568,103.863613,Drop-off Location,1.378041476729211,103.79265292050648
2024-07-25,22:18,Chinatown,1.284366,103.843005,Drop-off Location,1.3970660506944659,103.87369983190545
2023-12-06,16:22,Orchard Road,1.304834,103.831833,Drop-off Location,1.2922832519271996,103.82664145660608
2022-12-12,18:53,Chinatown,1.284366,103.843005,Drop-off Location,1.3896284199462419,103.80882771253124
2024-12-07,11:19,Sentosa Island,1.249404,103.830321,Drop-off Location,1.2856615500900477,103.9130092522227
2023-06-11,23:34,Clarke Quay,1.290557,103.846659,Drop-off Location,1.2590428250180372,103.95563524908162
2023-12-03,23:29,Clarke Quay,1.290557,103.846659,Drop-off Location,1.2350612119656892,103.74412079731191
2021-06-12,19:42,Gardens by the Bay,1.281568,103.863613,Drop-off Location,1.2253664219182567,103.9725538166768
2022-12-25,16:18,Singapore Flyer,1.289332,103.86312,Drop-off Location,1.3281038375798464,103.69522838539265
2023-12-05,19:19,Marina Bay Sands,1.28392,103.86057,Drop-off Location,1.2450768317196694,103.9092414092101
2024-06-28,22:11,Chinatown,1.284366,103.843005,Drop-off Location,1.2616433302258057,103.94244064344853
2021-06-27,11:58,Gardens by the Bay,1.281568,103.863613,Drop-off Location,1.312445529396991,103.73489653621613
2024-12-05,15:20,Orchard Road,1.304834,103.831833,Drop-off Location,1.2018299615319448,103.85345657305945
2022-12-16,14:26,Sentosa Island,1.249404,103.830321,Drop-off Location,1.271826557649169,103.8691570521496
2024-07-10,20:09,Little India,1.306978,103.849222,Drop-off Location,1.3857774788462833,103.61874430113451
2022-07-06,12:42,Singapore Zoo,1.404348,103.793023,Drop-off Location,1.3911536314002269,103.64700766944364
2023-06-09,11:21,Singapore Zoo,1.404348,103.793023,Drop-off Location,1.2586655219789071,103.92005991032791
2022-12-15,16:41,Orchard Road,1.304834,103.831833,Drop-off Location,1.2779083407538723,103.92386230779888
2021-06-06,14:11,Singapore Flyer,1.289332,103.86312,Drop-off Location,1.2208298439422718,103.78056648991054
2024-06-22,12:20,Sentosa Island,1.249404,103.830321,Drop-off Location,1.351604019603319,103.66080562423521
2023-07-13,19:47,Little India,1.306978,103.849222,Drop-off Location,1.2829812977740715,103.75211994883308
2022-12-17,20:25,Chinatown,1.284366,103.843005,Drop-off Location,1.3179253622331757,103.67380037297666
2022-12-27,17:10,Orchard Road,1.304834,103.831833,Drop-off Location,1.3211657685823823,103.67992065951032
2024-07-24,20:46,Marina Bay Sands,1.28392,103.86057,Drop-off Location,1.3076178928481,103.97719653587488
2021-07-11,12:08,Universal Studios Singapore,1.254321,103.823819,Drop-off Location,1.2597898254683262,103.61395560057498
2022-12-23,10:30,Singapore Zoo,1.404348,103.793023,Drop-off Location,1.271751762429975,103.8581540501927
2022-07-25,20:30,Chinatown,1.284366,103.843005,Drop-off Location,1.2154266250481707,103.92840713042153
2023-07-03,21:39,Clarke Quay,1.290557,103.846659,Drop-off Location,1.2625883308727213,103.99932891536878
2023-06-25,12:04,Singapore Zoo,1.404348,103.793023,Drop-off Location,1.3335297864425821,103.68873482181965
2023-12-09,19:43,Clarke Quay,1.290557,103.846659,Drop-off Location,1.2035691189754687,103.81567573216581
2022-12-19,11:46,Singapore Zoo,1.404348,103.793023,Drop-off Location,1.2499686583000575,103.8470610024849
2022-12-15,21:24,Marina Bay Sands,1.28392,103.86057,Drop-off Location,1.3822732680947452,103.8109297197518
2022-12-14,12:32,Singapore Zoo,1.404348,103.793023,Drop-off Location,1.2782202418183408,103.94874706006301
2023-07-09,12:01,Singapore Zoo,1.404348,103.793023,Drop-off Location,1.373606564106015,103.62722695713
2024-12-18,15:40,Singapore Flyer,1.289332,103.86312,Drop-off Location,1.2804960440054776,103.62264393315405
2023-06-21,19:02,Little India,1.306978,103.849222,Drop-off Location,1.2781732935431809,103.61422288018328
2023-06-28,10:40,Universal Studios Singapore,1.254321,103.823819,Drop-off Location,1.35902565413694,103.94105650921378
2024-12-10,13:06,Universal Studios Singapore,1.254321,103.823819,Drop-off Location,1.3948895818504234,103.89360909239281
2024-12-04,20:32,Clarke Quay,1.290557,103.846659,Drop-off Location,1.2705360101736694,103.82533556416925
2022-06-28,19:00,Orchard Road,1.304834,103.831833,Drop-off Location,1.2238918452218703,103.88906339793999
2022-07-20,16:46,Orchard Road,1.304834,103.831833,Drop-off Location,1.3634502731766214,103.64513029404634
2024-07-11,18:34,Gardens by the Bay,1.281568,103.863613,Drop-off Location,1.3978628366129742,103.66957174686567
2022-12-05,09:48,Singapore Zoo,1.404348,103.793023,Drop-off Location,1.2271747686131547,103.68931597887246
2022-06-27,10:15,Gardens by the Bay,1.281568,103.863613,Drop-off Location,1.2600795111426948,103.65729588747786
2022-12-05,18:53,Marina Bay Sands,1.28392,103.86057,Drop-off Location,1.2818660051661317,103.61857332562883
2023-07-04,11:49,Singapore Zoo,1.404348,103.793023,Drop-off Location,1.2911691014321272,103.60208419110322
2024-12-17,22:52,Clarke Quay,1.290557,103.846659,Drop-off Location,1.3835091262270054,103.7590683799021
2022-06-16,14:12,Universal Studios Singapore,1.254321,103.823819,Drop-off Location,1.241303042741047,103.74140276958657
2021-06-12,14:43,Universal Studios Singapore,1.254321,103.823819,Drop-off Location,1.268021155665257,103.73534846491809
2024-07-25,18:46,Little India,1.306978,103.849222,Drop-off Location,1.3940428035707328,103.85350203247707
2024-06-19,20:59,Marina Bay Sands,1.28392,103.86057,Drop-off Location,1.2647592924701863,103.64959589895729
2022-06-07,12:43,Universal Studios Singapore,1.254321,103.823819,Drop-off Location,1.3141721884740736,103.72059307689865
2024-12-27,20:22,Chinatown,1.284366,103.843005,Drop-off Location,1.222683381885085,103.69527246635786
2022-07-19,22:08,Clarke Quay,1.290557,103.846659,Drop-off Location,1.2339969897950585,103.69021512590636
2023-06-06,22:32,Chinatown,1.284366,103.843005,Drop-off Location,1.338571600211615,103.9875430396806
